"publisher","Cornell","Duke","Michigan","Minnesota","Virginia Tech","Washington U","Total"
"University of Massachusetts Amherst",1,0,0,0,0,0,1
"Center for International Forestry Research (CIFOR)",0,1,0,0,0,0,1
"Environmental System Science Data Infrastructure for a Virtual Ecosystem; Net Methylation Potential of Mercury Sulfides for Different Groups of the Methylating Microbial Community",0,1,0,0,0,0,1
"Jülich DATA",0,1,0,0,0,0,1
"National Data Archive on Child Abuse and Neglect (NDACAN)",0,1,0,0,0,0,1
"NILU - Norsk Institutt for Luftforskning",0,1,0,0,0,0,1
"Oxford Brookes University",0,1,0,0,0,0,1
"Pfizer",0,1,0,0,0,0,1
"SEANOE",0,1,0,0,0,0,1
"Southwestern Pacific Ocean Biogeographic Information System (OBIS) Node",0,1,0,0,0,0,1
"U.S. Geological Survey",0,1,0,0,0,0,1
"UiT Open Research Data Dataverse",0,1,0,0,0,0,1
"World Data Center for Climate (WDCC) at DKRZ",0,1,0,0,0,0,1
"Center for Macroecology, Evolution and Climate, University of Copenhagen",0,0,1,0,0,0,1
"EarthSpace",0,0,1,0,0,0,1
"Institute for Research on Innovation and Science (IRIS)",0,0,1,0,0,0,1
"International Soil Carbon Network (ISCN);",0,0,1,0,0,0,1
"Invasive Species Specialist Group ISSG",0,0,1,0,0,0,1
"NASA Planetary Data System",0,0,1,0,0,0,1
"National Data Archive on Child Abuse and Neglect",0,0,1,0,0,0,1
"Natural History Museum",0,0,1,0,0,0,1
"physionet.org",0,0,1,0,0,0,1
"Publisher",0,0,1,0,0,0,1
"UCLA Dataverse",0,0,1,0,0,0,1
"UNAVCO, Inc",0,0,1,0,0,0,1
"University of Bath",0,0,1,0,0,0,1
"University of Leeds",0,0,1,0,0,0,1
"University of Miami Libraries",0,0,1,0,0,0,1
"University of Michigan Museum of Paleontology",0,0,1,0,0,0,1
"Utah State University",0,0,1,0,0,0,1
"Κατάλογος Δεδομένων SoDaNet",0,0,1,0,0,0,1
"AmeriFlux; University of Minnesota; USDA- Forest Service",0,0,0,1,0,0,1
"AmeriFlux; University of Minnesota; USDA-Forest Service",0,0,0,1,0,0,1
"AmeriFlux; University of Minnesota; USDA-Forest Service-International Programs",0,0,0,1,0,0,1
"Environmental System Science Data Infrastructure for a Virtual Ecosystem; AmeriFlux",0,0,0,1,0,0,1
"Environmental System Science Data Infrastructure for a Virtual Ecosystem; AmeriFlux Network Management Project",0,0,0,1,0,0,1
"EOL Data Support. UCAR/NCAR - Earth Observing Laboratory",0,0,0,1,0,0,1
"Forest Service Research Data Archive",0,0,0,1,0,0,1
"Geology",0,0,0,1,0,0,1
"Global Carbon Project",0,0,0,1,0,0,1
"Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA (United States)",0,0,0,1,0,0,1
"LibGuides dataset: Subject guides at academic libraries",0,0,0,1,0,0,1
"Max Planck Institute for Biogeochemistry, Jena",0,0,0,1,0,0,1
"Proceedings of the National Academy of Sciences",0,0,0,1,0,0,1
"Tectonics",0,0,0,1,0,0,1
"University of Iowa",0,0,0,1,0,0,1
"University of Oxford",0,0,0,1,0,0,1
"Digital Rocks Portal University of Texas at Austin",0,0,0,0,1,0,1
"Environmental System Science Data Infrastructure for a Virtual Ecosystem",0,0,0,0,1,0,1
"Northwest Knowledge Network",0,0,0,0,1,0,1
"Univeristy of Leeds",0,0,0,0,1,0,1
"Virginia Polytechnic Inst. and State Univ. (Virginia Tech), Blacksburg, VA (United States)",0,0,0,0,1,0,1
"Digital Commons @ Becker, Data and Supporting Files",0,0,0,0,0,1,1
"Digital Commons@Becker, Data and Supporting files",0,0,0,0,0,1,1
"Digital Commons@Becker, Data and Supporting Files",0,0,0,0,0,1,1
"Environmental System Science Data Infrastructure for a Virtual Ecosystem; Trace Metal Dynamics and Limitations on Biogeochemical Cycling in Wetland Soils and Hyporheic Zones, PI Jeffrey G. Catalano",0,0,0,0,0,1,1
"ForestPlots.net",0,0,0,0,0,1,1
"Open Data Repository",0,0,0,0,0,1,1
"Woods Hole Oceanographic Institution",0,0,0,0,0,1,1
