"search","institution","totaln"
"*University*of*Minnesota*","UMN",510956
"*Cornell*University*","Cornell",511419
"*Duke*University*","Duke",510994
"*University*of*Michigan*","Michigan",510964
"*Washington*University*in*St.*Louis","WashU",511758
"*Virginia*Tech*","VT",995
