"institution","id","type","DOI","publisher","container_type","container_title","container_volume","container_firstPage","container_identifier","container_identifierType","container_lastPage","publicationYear","language","ris","bibtex","citeproc","schemaOrg","resourceType","resourceTypeGeneral","version","URL","metadataVersion","schemaVersion","source","isActive","state","reason","viewCount","downloadCount","referenceCount","citationCount","partCount","partOfCount","versionCount","versionOfCount","created","registered","published","updated","data_id","data_type","container_issue","group","member","reference-count","title","created.date-parts2","created.date-parts3","created.date-time","created.timestamp","name","doi","url","container.title","publisher_plus"
"Cornell","10.5281/zenodo.3905468","dois","10.5281/zenodo.3905468","Zenodo",NA,NA,NA,NA,NA,NA,NA,"2020",NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software","1.9.0","https://zenodo.org/record/3905468",0,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,1,0,1,0,0,0,0,1,"2020-06-24T02:27:42Z","2020-06-24T02:27:43Z",NA,"2022-08-12T12:30:02Z","cern.zenodo","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornell","10.5281/zenodo.3910803","dois","10.5281/zenodo.3910803","Zenodo",NA,NA,NA,NA,NA,NA,NA,"2020",NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software","0.2","https://zenodo.org/record/3910803",0,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,9,0,0,0,0,0,0,0,"2020-06-27T03:14:19Z","2020-06-27T03:14:20Z",NA,"2020-06-27T03:14:20Z","cern.zenodo","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornell","10.5281/zenodo.3948666","dois","10.5281/zenodo.3948666","Zenodo",NA,NA,NA,NA,NA,NA,NA,"2020",NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software","v11.7","https://zenodo.org/record/3948666",0,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,0,0,0,0,0,0,0,1,"2020-07-16T20:28:19Z","2020-07-16T20:28:19Z",NA,"2020-07-16T20:28:19Z","cern.zenodo","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornell","10.5281/zenodo.3948793","dois","10.5281/zenodo.3948793","Zenodo",NA,NA,NA,NA,NA,NA,NA,"2020",NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software","v3.3.0","https://zenodo.org/record/3948793",0,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,0,0,0,0,0,0,0,1,"2020-07-16T21:00:14Z","2020-07-16T21:00:15Z",NA,"2022-10-08T09:51:10Z","cern.zenodo","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornell","10.5281/zenodo.3952487","dois","10.5281/zenodo.3952487","Zenodo",NA,NA,NA,NA,NA,NA,NA,"2020",NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software","v1.16.5","https://zenodo.org/record/3952487",0,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,0,0,0,0,0,0,0,1,"2020-07-20T13:36:51Z","2020-07-20T13:36:52Z",NA,"2020-07-20T13:36:52Z","cern.zenodo","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornell","10.5281/zenodo.3955228","dois","10.5281/zenodo.3955228","Zenodo",NA,NA,NA,NA,NA,NA,NA,"2020",NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software","0.8.0","https://zenodo.org/record/3955228",0,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,0,0,0,0,0,0,0,1,"2020-07-22T00:48:58Z","2020-07-22T00:48:58Z",NA,"2020-07-22T00:48:58Z","cern.zenodo","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornell","10.5281/zenodo.3961510","dois","10.5281/zenodo.3961510","Zenodo",NA,NA,NA,NA,NA,NA,NA,"2020",NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software","v1.16.6","https://zenodo.org/record/3961510",0,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,0,0,0,0,0,0,0,1,"2020-07-27T09:59:27Z","2020-07-27T09:59:28Z",NA,"2020-07-27T09:59:28Z","cern.zenodo","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornell","10.5281/zenodo.3966533","dois","10.5281/zenodo.3966533","Zenodo",NA,NA,NA,NA,NA,NA,NA,"2020",NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software","v20200622","https://zenodo.org/record/3966533",0,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,0,0,0,0,0,0,0,1,"2020-07-30T02:36:16Z","2020-07-30T02:36:18Z",NA,"2020-07-30T02:36:18Z","cern.zenodo","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornell","10.5281/zenodo.3969565","dois","10.5281/zenodo.3969565","Zenodo",NA,NA,NA,NA,NA,NA,NA,"2020",NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software","v1.16.7","https://zenodo.org/record/3969565",0,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,0,0,0,0,0,0,0,1,"2020-08-01T21:06:21Z","2020-08-01T21:06:22Z",NA,"2020-08-01T21:06:22Z","cern.zenodo","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornell","10.5281/zenodo.3971056","dois","10.5281/zenodo.3971056","Zenodo",NA,NA,NA,NA,NA,NA,NA,"2020",NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software","v0.1.1","https://zenodo.org/record/3971056",0,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2020-08-03T17:41:28Z","2020-08-03T17:41:29Z",NA,"2020-09-08T06:31:20Z","cern.zenodo","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornell","10.5281/zenodo.3971055","dois","10.5281/zenodo.3971055","Zenodo",NA,NA,NA,NA,NA,NA,NA,"2020",NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software","v0.1.1","https://zenodo.org/record/3971055",0,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2020-08-03T17:41:30Z","2020-08-03T17:41:31Z",NA,"2020-08-03T17:41:31Z","cern.zenodo","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornell","10.5281/zenodo.3974963","dois","10.5281/zenodo.3974963","Zenodo",NA,NA,NA,NA,NA,NA,NA,"2020",NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software","1.0","https://zenodo.org/record/3974963",0,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2020-08-06T18:32:04Z","2020-08-06T18:32:06Z",NA,"2020-08-06T18:32:06Z","cern.zenodo","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornell","10.5281/zenodo.3974962","dois","10.5281/zenodo.3974962","Zenodo",NA,NA,NA,NA,NA,NA,NA,"2020",NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software","1.0","https://zenodo.org/record/3974962",0,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2020-08-06T18:32:07Z","2020-08-06T18:32:08Z",NA,"2020-08-06T18:32:08Z","cern.zenodo","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
