"container.title","created","deposited","published.print","doi","indexed","issued","member","prefix","publisher","score","source","reference.count","references.count","is.referenced.by.count","title","type","url"
"MorphoSource Media","2020-11-25","2020-11-25","2020","10.17602/m2/m76120","2022-04-01","2020","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M42235-76120","dataset","http://dx.doi.org/10.17602/m2/m76120"
"MorphoSource Media","2021-06-26","2021-06-26","2021","10.17602/m2/m165042","2022-04-01","2021","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","Humerus, Midshaft [CTImageSeries] [Etc]","dataset","http://dx.doi.org/10.17602/m2/m165042"
"MorphoSource Media","2019-07-30","2019-07-30","2019","10.17602/m2/m456","2022-04-01","2019","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M535-456","dataset","http://dx.doi.org/10.17602/m2/m456"
"MorphoSource Media","2019-08-08","2019-08-08","2019","10.17602/m2/m72902","2022-04-01","2019","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M40368-72902","dataset","http://dx.doi.org/10.17602/m2/m72902"
"MorphoSource Media","2021-07-22","2021-07-22","2021","10.17602/m2/m68212","2022-04-01","2021","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","Femur [Mesh] [Etc]","dataset","http://dx.doi.org/10.17602/m2/m68212"
"MorphoSource Media","2018-08-29","2018-08-29","2018","10.17602/m2/m35412","2022-04-01","2018","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M18706-35412","dataset","http://dx.doi.org/10.17602/m2/m35412"
"MorphoSource Media","2019-12-19","2019-12-19","2019","10.17602/m2/m74016","2022-04-01","2019","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M41072-74016","dataset","http://dx.doi.org/10.17602/m2/m74016"
"MorphoSource Media","2018-09-26","2018-09-26","2018","10.17602/m2/m10842","2022-04-01","2018","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M8600-10842","dataset","http://dx.doi.org/10.17602/m2/m10842"
"MorphoSource Media","2020-12-21","2020-12-23","2020","10.17602/m2/m165651","2022-04-01","2020","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M85222-165651","dataset","http://dx.doi.org/10.17602/m2/m165651"
"MorphoSource Media","2018-01-25","2018-01-25","2016","10.17602/m2/m10418","2022-04-01","2016","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M10418 from Vastan Primate Postcrania","dataset","http://dx.doi.org/10.17602/m2/m10418"
"MorphoSource Media","2018-11-05","2018-11-05","2018","10.17602/m2/m15634","2022-04-01","2018","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M10556-15634","dataset","http://dx.doi.org/10.17602/m2/m15634"
"MorphoSource Media","2020-05-29","2020-05-29","2020","10.17602/m2/m116755","2022-04-01","2020","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M14897-116755","dataset","http://dx.doi.org/10.17602/m2/m116755"
"MorphoSource Media","2019-06-12","2019-06-12","2019","10.17602/m2/m79205","2022-04-01","2019","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M43708-79205","dataset","http://dx.doi.org/10.17602/m2/m79205"
"MorphoSource Media","2021-08-03","2021-08-03","2021","10.17602/m2/m109599","2022-04-01","2021","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","Ulna [Mesh] [CT]","dataset","http://dx.doi.org/10.17602/m2/m109599"
"MorphoSource Media","2020-09-17","2020-09-17","2020","10.17602/m2/m157424","2022-04-01","2020","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M81641-157424","dataset","http://dx.doi.org/10.17602/m2/m157424"
"MorphoSource Media","2019-01-25","2019-01-25","2019","10.17602/m2/m27257","2022-04-01","2019","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M15047-27257","dataset","http://dx.doi.org/10.17602/m2/m27257"
"MorphoSource Media","2018-01-25","2018-01-25","2017","10.17602/m2/m12338","2022-04-02","2017","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M9168-12338","dataset","http://dx.doi.org/10.17602/m2/m12338"
"MorphoSource Media","2021-03-29","2021-03-29","2021","10.17602/m2/m167454","2022-04-01","2021","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","Element Unspecified [CTImageSeries] [CT]","dataset","http://dx.doi.org/10.17602/m2/m167454"
"MorphoSource Media","2020-07-10","2020-07-10","2020","10.17602/m2/m116460","2022-04-01","2020","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M64796-116460","dataset","http://dx.doi.org/10.17602/m2/m116460"
"MorphoSource Media","2021-08-31","2021-08-31","2021","10.17602/m2/m70130","2022-04-01","2021","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","Skull [CTImageSeries] [Etc]","dataset","http://dx.doi.org/10.17602/m2/m70130"
"MorphoSource Media","2019-05-22","2019-05-22","2019","10.17602/m2/m55158","2022-04-01","2019","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M28688-55158","dataset","http://dx.doi.org/10.17602/m2/m55158"
"MorphoSource Media","2019-03-19","2019-03-19","2019","10.17602/m2/m59370","2022-04-01","2019","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M31092-59370","dataset","http://dx.doi.org/10.17602/m2/m59370"
"MorphoSource Media","2020-07-15","2020-07-15","2020","10.17602/m2/m116199","2022-04-01","2020","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M64598-116199","dataset","http://dx.doi.org/10.17602/m2/m116199"
"MorphoSource Media","2019-11-20","2019-11-20","2019","10.17602/m2/m95776","2022-04-01","2019","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M52886-95776","dataset","http://dx.doi.org/10.17602/m2/m95776"
"MorphoSource Media","2021-09-02","2021-09-02","2021","10.17602/m2/m372980","2022-04-01","2021","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","Mandible [Mesh] [StrLight]","dataset","http://dx.doi.org/10.17602/m2/m372980"
"MorphoSource Media","2021-10-19","2021-10-19","2021","10.17602/m2/m389641","2022-04-01","2021","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","P1 Element [Mesh] [CT]","dataset","http://dx.doi.org/10.17602/m2/m389641"
"MorphoSource Media","2018-08-29","2018-08-29","2018","10.17602/m2/m48962","2022-04-01","2018","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M24885-48962","dataset","http://dx.doi.org/10.17602/m2/m48962"
"MorphoSource Media","2020-12-17","2020-12-17","2020","10.17602/m2/m154901","2022-04-01","2020","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M79382-154901","dataset","http://dx.doi.org/10.17602/m2/m154901"
"MorphoSource Media","2021-06-26","2021-06-26","2021","10.17602/m2/m164963","2022-04-06","2021","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","Humerus, Proximal End [CTImageSeries] [Etc]","dataset","http://dx.doi.org/10.17602/m2/m164963"
"MorphoSource Media","2019-07-08","2019-07-08","2019","10.17602/m2/m46519","2022-03-30","2019","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M23680-46519","dataset","http://dx.doi.org/10.17602/m2/m46519"
"MorphoSource Media","2021-08-09","2021-08-09","2021","10.17602/m2/m367584","2022-03-30","2021","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","Isolated Sclerite Of Lepidocoleus [CTImageSeries] [CT]","dataset","http://dx.doi.org/10.17602/m2/m367584"
"MorphoSource Media","2018-05-21","2018-05-21","2018","10.17602/m2/m10763","2022-03-30","2018","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M8542-10763","dataset","http://dx.doi.org/10.17602/m2/m10763"
"MorphoSource Media","2020-12-17","2020-12-17","2020","10.17602/m2/m168256","2022-03-30","2020","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M86821-168256","dataset","http://dx.doi.org/10.17602/m2/m168256"
"MorphoSource Media","2020-12-17","2020-12-17","2020","10.17602/m2/m168412","2022-03-30","2020","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M86974-168412","dataset","http://dx.doi.org/10.17602/m2/m168412"
"MorphoSource Media","2018-08-11","2018-08-11","2018","10.17602/m2/m54477","2022-03-30","2018","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M28159-54477","dataset","http://dx.doi.org/10.17602/m2/m54477"
"MorphoSource Media","2021-08-26","2021-08-26","2021","10.17602/m2/m379491","2022-03-30","2021","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","Maxilla [Mesh] [CT]","dataset","http://dx.doi.org/10.17602/m2/m379491"
"MorphoSource Media","2020-02-21","2020-02-21","2020","10.17602/m2/m73060","2022-03-30","2020","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M40465-73060","dataset","http://dx.doi.org/10.17602/m2/m73060"
"MorphoSource Media","2020-04-17","2020-04-17","2020","10.17602/m2/m22662","2022-03-30","2020","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M13151-22662","dataset","http://dx.doi.org/10.17602/m2/m22662"
"MorphoSource Media","2020-08-13","2020-08-13","2020","10.17602/m2/m157609","2022-03-30","2020","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M64689-157609","dataset","http://dx.doi.org/10.17602/m2/m157609"
"MorphoSource Media","2020-12-17","2020-12-17","2020","10.17602/m2/m154207","2022-03-30","2020","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M78802-154207","dataset","http://dx.doi.org/10.17602/m2/m154207"
