"institution","id","type","doi","publisher","container_type","container_title","container_volume","container_firstPage","container_identifier","container_identifierType","container_lastPage","publicationYear","language","ris","bibtex","citeproc","schemaOrg","resourceType","resourceTypeGeneral","version","url","metadataVersion","schemaVersion","source","isActive","state","reason","viewCount","downloadCount","referenceCount","citationCount","partCount","partOfCount","versionCount","versionOfCount","created","registered","published","updated","data_id","data_type","container_issue"
"Virginia Tech","10.7291/d14t2w","dois","10.7291/d14t2w","Dryad",NA,NA,NA,NA,NA,NA,NA,2021,"en","DATA","misc","dataset","Dataset","dataset","Dataset","4","http://datadryad.org/stash/dataset/doi:10.7291/D14T2W",2,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,0,0,2,0,0,0,0,0,"2021-11-05T19:37:22Z","2021-11-05T19:37:24Z",NA,"2022-06-04T08:49:10Z","cdl.ucsc","clients",NA
"Virginia Tech","10.5061/dryad.5dv41ns6x","dois","10.5061/dryad.5dv41ns6x","Dryad",NA,NA,NA,NA,NA,NA,NA,2021,"en","DATA","misc","dataset","Dataset","dataset","Dataset","3","http://datadryad.org/stash/dataset/doi:10.5061/dryad.5dv41ns6x",1,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2021-11-10T20:19:47Z","2021-11-10T20:19:48Z",NA,"2022-06-04T09:17:22Z","dryad.dryad","clients",NA
"Virginia Tech","10.5281/zenodo.5675804","dois","10.5281/zenodo.5675804","Zenodo",NA,NA,NA,NA,NA,NA,NA,2021,NA,"DATA","misc","dataset","Dataset",NA,"Dataset","0.9","https://zenodo.org/record/5675804",0,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2021-11-11T14:44:59Z","2021-11-11T14:45:00Z",NA,"2021-11-11T14:45:00Z","cern.zenodo","clients",NA
"Virginia Tech","10.5281/zenodo.5762433","dois","10.5281/zenodo.5762433","Zenodo",NA,NA,NA,NA,NA,NA,NA,2021,"en","DATA","misc","dataset","Dataset",NA,"Dataset","1.2","https://zenodo.org/record/5762433",1,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2021-12-06T20:28:35Z","2021-12-06T20:28:36Z",NA,"2021-12-06T20:31:36Z","cern.zenodo","clients",NA
"Virginia Tech","10.5061/dryad.mcvdnck2c","dois","10.5061/dryad.mcvdnck2c","Dryad",NA,NA,NA,NA,NA,NA,NA,2021,"en","DATA","misc","dataset","Dataset","dataset","Dataset","2","http://datadryad.org/stash/dataset/doi:10.5061/dryad.mcvdnck2c",2,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2021-12-07T01:27:25Z","2021-12-07T01:27:26Z",NA,"2022-06-04T09:39:44Z","dryad.dryad","clients",NA
"Virginia Tech","10.7294/17192963","dois","10.7294/17192963","University Libraries, Virginia Tech",NA,NA,NA,NA,NA,NA,NA,2022,NA,"DATA","misc","dataset","Dataset","Dataset","Dataset",NA,"https://data.lib.vt.edu/articles/dataset/Inversion_Results_associated_with_JGR_Solid_Earth_Publication_Joint_Inversion_of_GNSS_and_GRACE_for_Terrestrial_Water_Storage_Change_in_California_by_Carlson_et_al_/17192963",3,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2021-12-14T15:14:16Z","2021-12-14T15:14:17Z",NA,"2022-03-15T17:36:06Z","vt.vtechdata","clients",NA
"Virginia Tech","10.7294/17192963.v1","dois","10.7294/17192963.v1","University Libraries, Virginia Tech",NA,NA,NA,NA,NA,NA,NA,2021,NA,"DATA","misc","dataset","Dataset","Dataset","Dataset",NA,"https://data.lib.vt.edu/articles/dataset/Inversion_Results_associated_with_JGR_Solid_Earth_Publication_Joint_Inversion_of_GNSS_and_GRACE_for_Terrestrial_Water_Storage_Change_in_California_by_Carlson_et_al_/17192963/1",3,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2021-12-14T15:14:17Z","2021-12-14T15:14:17Z",NA,"2022-04-15T19:46:52Z","vt.vtechdata","clients",NA
"Virginia Tech","10.5061/dryad.pc866t1pw","dois","10.5061/dryad.pc866t1pw","Dryad",NA,NA,NA,NA,NA,NA,NA,2021,"en","DATA","misc","dataset","Dataset","dataset","Dataset","3","http://datadryad.org/stash/dataset/doi:10.5061/dryad.pc866t1pw",2,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2021-12-14T22:38:23Z","2021-12-14T22:38:24Z",NA,"2022-06-04T09:15:45Z","dryad.dryad","clients",NA
"Virginia Tech","10.5061/dryad.j9kd51cdw","dois","10.5061/dryad.j9kd51cdw","Dryad",NA,NA,NA,NA,NA,NA,NA,2021,"en","DATA","misc","dataset","Dataset","dataset","Dataset","2","http://datadryad.org/stash/dataset/doi:10.5061/dryad.j9kd51cdw",0,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2021-12-14T22:38:44Z","2021-12-14T22:38:45Z",NA,"2022-06-04T09:45:18Z","dryad.dryad","clients",NA
"Virginia Tech","10.6084/m9.figshare.15025296.v6","dois","10.6084/m9.figshare.15025296.v6","figshare",NA,NA,NA,NA,NA,NA,NA,2021,NA,"DATA","misc","dataset","Dataset","Dataset","Dataset",NA,"https://figshare.com/articles/dataset/Desmodus_rotundus_Occurrence_Record_Database/15025296/6",2,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,0,0,0,1,0,0,0,0,"2021-12-17T14:24:44Z","2021-12-17T14:24:45Z",NA,"2022-04-08T16:02:27Z","figshare.ars","clients",NA
"Virginia Tech","10.5061/dryad.4qrfj6q9x","dois","10.5061/dryad.4qrfj6q9x","Dryad",NA,NA,NA,NA,NA,NA,NA,2021,"en","DATA","misc","dataset","Dataset","dataset","Dataset","8","http://datadryad.org/stash/dataset/doi:10.5061/dryad.4qrfj6q9x",5,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2021-12-17T22:18:19Z","2021-12-17T22:18:20Z",NA,"2022-06-04T07:49:21Z","dryad.dryad","clients",NA
"Virginia Tech","10.3886/e157861","dois","10.3886/e157861","ICPSR - Interuniversity Consortium for Political and Social Research",NA,NA,NA,NA,NA,NA,NA,2021,"en","DATA","misc","dataset","Dataset",NA,"Dataset","v0","https://www.openicpsr.org/openicpsr/project/157861/view",0,"http://datacite.org/schema/kernel-4","api",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2021-12-19T03:34:02Z","2021-12-19T03:34:03Z",NA,"2021-12-19T03:34:03Z","gesis.icpsr","clients",NA
"Virginia Tech","10.3886/e157861v1","dois","10.3886/e157861v1","ICPSR - Interuniversity Consortium for Political and Social Research",NA,NA,NA,NA,NA,NA,NA,2021,"en","DATA","misc","dataset","Dataset",NA,"Dataset","v1","https://www.openicpsr.org/openicpsr/project/157861/version/V1/view",0,"http://datacite.org/schema/kernel-4","api",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2021-12-19T03:34:05Z","2021-12-19T03:34:05Z",NA,"2021-12-19T03:34:05Z","gesis.icpsr","clients",NA
"Virginia Tech","10.5281/zenodo.5807784","dois","10.5281/zenodo.5807784","Zenodo",NA,NA,NA,NA,NA,NA,NA,2021,NA,"DATA","misc","dataset","Dataset",NA,"Dataset","v1.0.0","https://zenodo.org/record/5807784",1,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2021-12-28T16:55:37Z","2021-12-28T16:55:38Z",NA,"2021-12-28T16:59:28Z","cern.zenodo","clients",NA
"Virginia Tech","10.5281/zenodo.5807783","dois","10.5281/zenodo.5807783","Zenodo",NA,NA,NA,NA,NA,NA,NA,2021,NA,"DATA","misc","dataset","Dataset",NA,"Dataset","v1.0.0","https://zenodo.org/record/5807783",1,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,0,0,0,0,0,0,1,0,"2021-12-28T16:55:39Z","2021-12-28T16:55:39Z",NA,"2021-12-28T16:59:30Z","cern.zenodo","clients",NA
"Virginia Tech","10.5061/dryad.xd2547dj2","dois","10.5061/dryad.xd2547dj2","Dryad",NA,NA,NA,NA,NA,NA,NA,2021,"en","DATA","misc","dataset","Dataset","dataset","Dataset","7","http://datadryad.org/stash/dataset/doi:10.5061/dryad.xd2547dj2",2,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2021-12-31T03:43:12Z","2021-12-31T03:43:13Z",NA,"2022-06-04T09:47:44Z","dryad.dryad","clients",NA
"Virginia Tech","10.5281/zenodo.5810888","dois","10.5281/zenodo.5810888","Zenodo",NA,NA,NA,NA,NA,NA,NA,2021,"en","DATA","misc","dataset","Dataset",NA,"Dataset","1.0.0","https://zenodo.org/record/5810888",1,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2021-12-31T19:10:28Z","2021-12-31T19:10:29Z",NA,"2022-01-03T17:35:33Z","cern.zenodo","clients",NA
"Virginia Tech","10.5281/zenodo.5810887","dois","10.5281/zenodo.5810887","Zenodo",NA,NA,NA,NA,NA,NA,NA,2021,"en","DATA","misc","dataset","Dataset",NA,"Dataset","1.0.0","https://zenodo.org/record/5810887",1,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2021-12-31T19:10:30Z","2021-12-31T19:10:31Z",NA,"2022-01-03T17:35:36Z","cern.zenodo","clients",NA
"Virginia Tech","10.6084/m9.figshare.18514996","dois","10.6084/m9.figshare.18514996","Taylor & Francis",NA,NA,NA,NA,NA,NA,NA,2022,NA,"DATA","misc","dataset","Dataset","Dataset","Dataset",NA,"https://tandf.figshare.com/articles/dataset/Knockdown_of_ADORA2A_antisense_RNA_1_inhibits_cell_proliferation_and_enhances_imatinib_sensitivity_in_chronic_myeloid_leukemia/18514996",2,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,0,0,1,0,0,0,0,0,"2022-01-16T13:00:04Z","2022-01-16T13:00:05Z",NA,"2022-06-07T17:41:55Z","figshare.ars","clients",NA
"Virginia Tech","10.6084/m9.figshare.18514996.v1","dois","10.6084/m9.figshare.18514996.v1","Taylor & Francis",NA,NA,NA,NA,NA,NA,NA,2022,NA,"DATA","misc","dataset","Dataset","Dataset","Dataset",NA,"https://tandf.figshare.com/articles/dataset/Knockdown_of_ADORA2A_antisense_RNA_1_inhibits_cell_proliferation_and_enhances_imatinib_sensitivity_in_chronic_myeloid_leukemia/18514996/1",2,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,0,0,1,0,0,0,0,0,"2022-01-16T13:00:04Z","2022-01-16T13:00:05Z",NA,"2022-06-07T17:41:54Z","figshare.ars","clients",NA
"Virginia Tech","10.6084/m9.figshare.18551244","dois","10.6084/m9.figshare.18551244","Taylor & Francis",NA,NA,NA,NA,NA,NA,NA,2022,NA,"DATA","misc","dataset","Dataset","Dataset","Dataset",NA,"https://tandf.figshare.com/articles/dataset/Inflammatory_activation_and_immune_cell_infiltration_are_main_biological_characteristics_of_SARS-CoV-2_infected_myocardium/18551244",8,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,0,0,1,0,0,0,0,0,"2022-01-17T16:40:17Z","2022-01-17T16:40:18Z",NA,"2022-06-07T17:42:01Z","figshare.ars","clients",NA
"Virginia Tech","10.6084/m9.figshare.18551244.v1","dois","10.6084/m9.figshare.18551244.v1","Taylor & Francis",NA,NA,NA,NA,NA,NA,NA,2022,NA,"DATA","misc","dataset","Dataset","Dataset","Dataset",NA,"https://tandf.figshare.com/articles/dataset/Inflammatory_activation_and_immune_cell_infiltration_are_main_biological_characteristics_of_SARS-CoV-2_infected_myocardium/18551244/1",8,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,0,0,1,0,0,0,0,0,"2022-01-17T16:40:17Z","2022-01-17T16:40:18Z",NA,"2022-06-07T17:42:03Z","figshare.ars","clients",NA
