"institution","id","type","doi","publisher","container_type","container_title","container_volume","container_firstPage","container_identifier","container_identifierType","container_lastPage","publicationYear","language","ris","bibtex","citeproc","schemaOrg","resourceType","resourceTypeGeneral","version","url","metadataVersion","schemaVersion","source","isActive","state","reason","viewCount","downloadCount","referenceCount","citationCount","partCount","partOfCount","versionCount","versionOfCount","created","registered","published","updated","data_id","data_type","container_issue"
"Minnesota","10.5281/zenodo.7079909","dois","10.5281/zenodo.7079909","Zenodo",NA,NA,NA,NA,NA,NA,NA,2022,NA,"DATA","misc","dataset","Dataset",NA,"Dataset","v1","https://zenodo.org/record/7079909",0,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2022-09-14T18:05:06Z","2022-09-14T18:05:07Z",NA,"2022-09-14T18:05:07Z","cern.zenodo","clients",NA
"Minnesota","10.5281/zenodo.7079908","dois","10.5281/zenodo.7079908","Zenodo",NA,NA,NA,NA,NA,NA,NA,2022,NA,"DATA","misc","dataset","Dataset",NA,"Dataset","v1","https://zenodo.org/record/7079908",0,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2022-09-14T18:05:07Z","2022-09-14T18:05:08Z",NA,"2022-09-14T18:05:08Z","cern.zenodo","clients",NA
"Minnesota","10.5061/dryad.9cnp5hqkv","dois","10.5061/dryad.9cnp5hqkv","Dryad",NA,NA,NA,NA,NA,NA,NA,2022,"en","DATA","misc","dataset","Dataset","dataset","Dataset","4","http://datadryad.org/stash/dataset/doi:10.5061/dryad.9cnp5hqkv",0,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2022-09-16T17:49:03Z","2022-09-16T17:49:04Z",NA,"2022-09-16T17:49:04Z","dryad.dryad","clients",NA
"Minnesota","10.26008/1912/bco-dmo.818958.1","dois","10.26008/1912/bco-dmo.818958.1","Biological and Chemical Oceanography Data Management Office (BCO-DMO)",NA,NA,NA,NA,NA,NA,NA,2022,"en","DATA","misc","dataset","Dataset","Dataset","Dataset","1","https://hdl.handle.net/1912/29358",0,NA,"api",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2022-09-16T18:15:05Z","2022-09-16T18:15:05Z",NA,"2022-09-16T18:15:05Z","wh.whoas","clients",NA
"Minnesota","10.26008/1912/bco-dmo.818953.1","dois","10.26008/1912/bco-dmo.818953.1","Biological and Chemical Oceanography Data Management Office (BCO-DMO)",NA,NA,NA,NA,NA,NA,NA,2022,"en","DATA","misc","dataset","Dataset","Dataset","Dataset","1","https://hdl.handle.net/1912/29357",0,NA,"api",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2022-09-16T18:15:06Z","2022-09-16T18:15:06Z",NA,"2022-09-16T18:15:06Z","wh.whoas","clients",NA
"Minnesota","10.25384/sage.21150903","dois","10.25384/sage.21150903","SAGE Journals",NA,NA,NA,NA,NA,NA,NA,2022,NA,"DATA","misc","dataset","Dataset","Dataset","Dataset",NA,"https://sage.figshare.com/articles/dataset/sj-csv-6-mdm-10_1177_0272989X221121747_Supplemental_material_for_A_Tutorial_on_Time-Dependent_Cohort_State-Transition_Models_in_R_Using_a_Cost-Effectiveness_Analysis_Example/21150903",1,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2022-09-17T12:11:10Z","2022-09-17T12:11:10Z",NA,"2022-09-17T12:11:11Z","figshare.sage","clients",NA
"Minnesota","10.25384/sage.21150903.v1","dois","10.25384/sage.21150903.v1","SAGE Journals",NA,NA,NA,NA,NA,NA,NA,2022,NA,"DATA","misc","dataset","Dataset","Dataset","Dataset",NA,"https://sage.figshare.com/articles/dataset/sj-csv-6-mdm-10_1177_0272989X221121747_Supplemental_material_for_A_Tutorial_on_Time-Dependent_Cohort_State-Transition_Models_in_R_Using_a_Cost-Effectiveness_Analysis_Example/21150903/1",1,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2022-09-17T12:11:10Z","2022-09-17T12:11:10Z",NA,"2022-09-17T12:11:11Z","figshare.sage","clients",NA
"Minnesota","10.7910/dvn/bubb5i","dois","10.7910/dvn/bubb5i","Harvard Dataverse",NA,NA,NA,NA,NA,NA,NA,2022,NA,"DATA","misc","dataset","Dataset",NA,"Dataset",NA,"https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/BUBB5I",1,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2022-09-17T17:39:31Z","2022-09-17T17:46:13Z",NA,"2022-09-17T17:46:13Z","gdcc.harvard-dv","clients",NA
"Minnesota","10.5061/dryad.w3r2280sq","dois","10.5061/dryad.w3r2280sq","Dryad",NA,NA,NA,NA,NA,NA,NA,2022,"en","DATA","misc","dataset","Dataset","dataset","Dataset","5","http://datadryad.org/stash/dataset/doi:10.5061/dryad.w3r2280sq",0,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2022-09-20T22:30:45Z","2022-09-20T22:30:45Z",NA,"2022-09-20T22:30:45Z","dryad.dryad","clients",NA
"Minnesota","10.3886/e138441","dois","10.3886/e138441","ICPSR - Interuniversity Consortium for Political and Social Research",NA,NA,NA,NA,NA,NA,NA,2022,"en","DATA","misc","dataset","Dataset",NA,"Dataset","v0","https://www.openicpsr.org/openicpsr/project/138441/view",0,"http://datacite.org/schema/kernel-4","api",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2022-09-21T18:05:00Z","2022-09-21T18:05:00Z",NA,"2022-09-21T18:05:00Z","gesis.icpsr","clients",NA
"Minnesota","10.3886/e138441v1","dois","10.3886/e138441v1","ICPSR - Interuniversity Consortium for Political and Social Research",NA,NA,NA,NA,NA,NA,NA,2022,"en","DATA","misc","dataset","Dataset",NA,"Dataset","v1","https://www.openicpsr.org/openicpsr/project/138441/version/V1/view",0,"http://datacite.org/schema/kernel-4","api",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2022-09-21T18:05:02Z","2022-09-21T18:05:03Z",NA,"2022-09-21T18:05:03Z","gesis.icpsr","clients",NA
